epoch,train_loss,val_loss,train_acc,val_acc,val_f1
1,0.5724657569813916,0.39969075471162796,0.7613972400197141,0.8353868900936422,0.7494796887893256
2,0.4203755519844181,0.38149595027789474,0.8274396254312469,0.8491867915229176,0.7913841601995791
3,0.3542458126834762,0.37773937557358295,0.8562715623459832,0.8472153770330212,0.7898460104359318
4,0.30378073869698397,0.3602222829358652,0.8772178413011336,0.8501724987678659,0.7949680277954458
5,0.25353457660626944,0.3937688155565411,0.9012444553967471,0.8546081813701331,0.7943565735984977
6,0.20825648644396405,0.43009203707333654,0.9194800394282898,0.8526367668802366,0.7912950972108684
7,0.1726526171830666,0.4439339776872657,0.9367299162148842,0.8560867422375554,0.7894151888093788
8,0.1406709047870373,0.46620531265216414,0.9489280433711188,0.8624938393297191,0.7979649287879395
9,0.12172838820393865,0.4793217386759352,0.9544726466239527,0.8531296205027107,0.7913452664162367
10,0.10049400003865273,0.609276793547906,0.9644529324790537,0.8551010349926071,0.7946236485980277
11,0.08922786632594909,0.5997165496373782,0.9693814687037949,0.8639724001971415,0.8014400539632538
12,0.0792553750500193,0.5946624947537202,0.9729546574667324,0.8501724987678659,0.7933769052960148
13,0.0719357331010227,0.6499464254775376,0.9745564317397732,0.8590438639724002,0.7981562416512803
14,0.08471922701665596,0.5889076946477871,0.9730778708723509,0.8491867915229176,0.795868200931492
15,0.061134644368444346,0.7127926749453763,0.9787456875308034,0.8516510596352883,0.7861893448842405
16,0.059059862302264246,0.6112116677686572,0.9791769344504682,0.8501724987678659,0.7948153413662015
17,0.05368120677017068,0.7323061797214905,0.98238048299655,0.8477082306554953,0.7743503140306012
18,0.054491167694860045,0.713205877225846,0.9816412025628388,0.8620009857072449,0.7959374244444772
19,0.04609626419367874,0.7744320091878762,0.9846599310004929,0.8570724494825037,0.7967092659421704
20,0.04244053666571551,0.7271680664707674,0.9857072449482503,0.8560867422375554,0.7988823716433622
21,0.043100293888664605,0.658461761304352,0.9847831444061114,0.8477082306554953,0.7767641893750964
22,0.03969693445237574,0.827572874375619,0.9859536717594874,0.8472153770330212,0.7964453386988598
23,0.03560462013926489,0.7159242390698637,0.9879250862493839,0.8570724494825037,0.795399364163141
24,0.03675903087383545,0.8000068650289904,0.9871858058156727,0.854115327747659,0.786306686435227
25,0.04103896195646678,0.707141963968752,0.9860152784622968,0.8546081813701331,0.7961440034026651
26,0.03487998420300075,0.7762203211095766,0.9880482996550025,0.8555938886150813,0.7842163100333953
27,0.034221023496748666,0.8542750002361572,0.9882331197634303,0.8570724494825037,0.792629026600827
28,0.029087158125677644,0.7975501703913324,0.9902045342533268,0.8590438639724002,0.7965621568688567
29,0.0316330835233052,0.8192895405300078,0.9888491867915229,0.8560867422375554,0.7908178017034105
30,0.026664045472103666,0.7744302952742146,0.9906973878758009,0.8575653031049778,0.7911555229188435
31,0.033013845139510695,0.7537995148450136,0.9887875800887137,0.8486939379004436,0.7877735098548734
32,0.032983321299722354,0.7626564109232277,0.9887259733859044,0.8531296205027107,0.7906635220510513
33,0.024140571195893582,0.8395982013898902,0.9911286347954658,0.8624938393297191,0.8062117866722219
34,0.0282212704041167,0.8528122170828283,0.9901429275505175,0.8580581567274519,0.7852757635883322
35,0.025360769102638108,0.8031476926553296,0.9914982750123214,0.8511582060128142,0.7887749990843279
